TT,07,27,21,15,51,31,820731
o,24507,2569746,2569758
o,24508,2576408,2576420
o,24509,2583070,2583082
o,24510,2589732,2589744
o,24511,2596394,2596406
o,24512,2603056,2603068
o,24513,2609716,2609728
o,24514,2616380,2616392
o,24515,2623040,2623052
o,24516,2629704,2629716
o,24517,2636366,2636378
EC, 118,3905,   0,4023
ER,3950,  64,   8
o,24518,2643030,2643042
o,24519,2649612,2649624
o,24520,2656274,2656286
o,24521,2662936,2662948
o,24522,2669596,2669608
o,24523,2676256,2676268
o,24524,2682920,2682932
o,24525,2689580,2689592
o,24526,2696242,2696254
o,24527,2702904,2702916
o,24528,2709566,2709578
o,24529,2716228,2716240
o,24530,2722890,2722902
o,24531,2729552,2729564
o,24532,2736214,2736226
o,24533,2742876,2742888
o,24534,2749544,2749556
o,24535,2756204,2756216
o,24536,2762866,2762878
o,24537,2769422,2769434
o,24538,2776084,2776096
o,24539,2782744,2782756
o,24540,2789408,2789420
o,24541,2796070,2796082
o,24542,2802732,2802744
o,24543,2809394,2809406
o,24544,2816058,2816070
o,24545,2822872,2822884
o,24546,2829534,2829546
o,24547,2836196,2836208
o,24548,2842858,2842870
o,24549,2849292,2849304
o,24550,2855954,2855966
o,24551,2862616,2862628
o,24552,2869278,2869290
o,24553,2875940,2875952
o,24554,2882604,2882616
o,24555,2889262,2889274
o,24556,2895924,2895936
o,24557,2902586,2902598
o,24558,2909248,2909260
a,24559,2915910,2915922
o,24560,2922572,2922584
o,24561,2929234,2929246
o,24562,2935958,2935970
o,24563,2942620,2942632
o,24564,2949284,2949296
o,24565,2955946,2955958
o,24566,2962608,2962620
o,24567,2969270,2969282
o,24568,2975758,2975770
o,24569,2982420,2982432
o,24570,2989068,2989080
o,24571,2995730,2995742
o,24572,3002394,3002406
o,24573,3009054,3009066
o,24574,3015718,3015730
,24575,3022376,3022388
o,24576,3029038,3029050
o,24577,3035700,3035712
o,24578,3042362,3042374
o,24579,3049022,3049034
o,24580,3055682,3055694
o,24581,3062344,3062356
o,24582,3069006,3069018
o,24583,3075668,3075680
o,24584,3082332,3082344
o,24585,3089508,3089520
o,24586,3096170,3096182
o,24587,3102834,3102846
o,24588,3109496,3109508
o,24589,3116158,3116170
o,24590,3122820,3122832
o,24591,3129482,3129494
o,24592,3136012,3136024
o,24593,3142674,3142686
o,24594,3149336,3149348
o,24595,3155996,3156008
o,24596,3162658,3162670
o,24597,3169320,3169332
o,24598,3175982,3175994
o,24599,3182644,3182656
o,24600,3189304,3189316
o,24601,3195966,3195978
o,24602,3202628,3202640
o,24603,3209290,3209302
o,24604,3215954,3215966
o,24605,3222616,3222628
o,24606,3229278,3229290
o,24607,3235940,3235952
o,24608,3242602,3242614
o,24609,3249264,3249276
o,24610,3255928,3255940
o,24611,3262590,3262602
o,24612,3269252,3269264
o,24613,3275914,3275926
o,24614,3282578,3282590
o,24615,3289238,3289250
o,24616,3295900,3295914
EC, 160,4863,   0,5024
ER,4921,  94,   8
