o,19936,2290214,2290226
o,19937,2296878,2296890
o,19938,2303538,2303550
o,19939,2310200,2310212
o,19940,2316862,2316874
o,19941,2323524,2323536
o,19942,2330184,2330196
o,19943,2336846,2336858
o,19944,2343508,2343520
o,19945,2350172,2350184
o,19946,2356832,2356844
o,19947,2363494,2363506
o,19948,2370060,2370072
o,19949,2376720,2376732
o,19950,2383380,2383392
o,19951,2390042,2390054
o,19952,2396706,2396718
o,19953,2403368,2403380
o,19954,2410030,2410042
o,19955,2416694,2416706
o,19956,2423354,2423366
o,19957,2430016,2430028
o,19958,2436678,2436690
o,19959,2443340,2443352
o,19960,2450002,2450014
o,19961,2456662,2456674
o,19962,2463322,2463334
o,19963,2469984,2469996
o,19964,2476646,2476658
o,19965,2483214,2483226
o,19966,2489874,2489886
,19967,2496536,2496548
o,19968,2503198,2503210
o,19969,2509860,2509872
o,19970,2516522,2516534
o,19971,2523184,2523196
o,19972,2529848,2529860
o,19973,2536510,2536522
o,19974,2543172,2543184
o,19975,2549836,2549848
o,19976,2556496,2556508
o,19977,2563158,2563170
o,19978,2569820,2569832
o,19979,2576482,2576494
o,19980,2583144,2583156
o,19981,2589806,2589818
o,19982,2596364,2596376
o,19983,2603026,2603038
o,19984,2609686,2609698
o,19985,2616350,2616362
o,19986,2623010,2623022
o,19987,2629672,2629684
o,19988,2636334,2636346
EC, 119,3903,   0,4023
ER,3945,  69,   8
o,19989,2642998,2643010
o,19990,2649658,2649670
o,19991,2656320,2656332
o,19992,2662984,2662996
o,19993,2669644,2669656
o,19994,2676304,2676316
o,19995,2682968,2682980
o,19996,2689628,2689640
o,19997,2696290,2696302
o,19998,2702952,2702964
o,19999,2709614,2709626
o,20000,2716172,2716184
o,20001,2722832,2722844
o,20002,2729494,2729506
o,20003,2736154,2736166
o,20004,2742816,2742828
o,20005,2749480,2749492
a,20006,2756140,2756152
o,20007,2762802,2762814
o,20008,2769464,2769476
o,20009,2776124,2776136
o,20010,2782784,2782796
o,20011,2789444,2789456
o,20012,2796622,2796634
o,20013,2803284,2803296
o,20014,2809946,2809958
o,20015,2816610,2816622
o,20016,2823270,2823282
o,20017,2829836,2829848
o,20018,2836500,2836512
o,20019,2843162,2843174
o,20020,2849824,2849836
o,20021,2856486,2856498
o,20022,2863148,2863160
o,20023,2869808,2869820
o,20024,2876470,2876482
o,20025,2883134,2883146
o,20026,2889794,2889806
o,20027,2896456,2896468
o,20028,2903118,2903130
o,20029,2909780,2909792
o,20030,2916442,2916454
o,20031,2923020,2923032
o,20032,2930518,2930530
o,20033,2936844,2936856
o,20034,2943504,2943516
o,20035,2950166,2950178
o,20036,2956826,2956838
o,20037,2963486,2963498
o,20038,2970148,2970160
o,20039,2976810,2976822
o,20040,2983472,2983484
o,20041,2990134,2990146
o,20042,2996796,2996808
o,20043,3003458,3003470
o,20044,3010120,3010132
o,20045,3016784,3016796
o,20046,3023442,3023454
o,20047,3030104,3030116
o,20048,3036766,3036778
o,20049,3043428,3043440
o,20050,3050090,3050102
o,20051,3056752,3056764
o,20052,3063930,3063942
o,20053,3070592,3070604
o,20054,3077254,3077266
o,20055,3083918,3083930
o,20056,3090578,3090590
o,20057,3097240,3097252
o,20058,3103902,3103914
o,20059,3110564,3110576
o,20060,3117226,3117238
o,20061,3123888,3123900
o,20062,3130550,3130562
o,20063,3137212,3137224
o,20064,3143874,3143886
o,20065,3150538,3150550
o,20066,3157518,3157530
o,20067,3164180,3164192
o,20068,3170842,3170854
o,20069,3177502,3177514
o,20070,3184164,3184176
o,20071,3190824,3190836
o,20072,3197488,3197500
o,20073,3204150,3204162
o,20074,3210812,3210824
o,20075,3217476,3217488
o,20076,3224136,3224148
o,20077,3230798,3230810
o,20078,3237458,3237470
o,20079,3244120,3244132
o,20080,3250782,3250794
