ER,4954,  61,   8
o,35519,3306090,3306104
o,35520,3316336,3316350
o,35521,3326582,3326596
o,35522,3336830,3336844
o,35523,3347078,3347090
o,35524,3357322,3357336
o,35525,3367568,3367582
o,35526,3377814,3377828
o,35527,3387916,3387930
o,35528,3398160,3398174
o,35529,3408406,3408420
o,35530,3418658,3418672
o,35531,3428904,3428918
o,35532,3439150,3439164
o,35533,3449396,3449410
o,35534,3459642,3459656
o,35535,3469888,3469902
o,35536,3480138,3480150
o,35537,3490382,3490396
o,35538,3500628,3500642
o,35539,3510876,3510890
o,35540,3521122,3521136
o,35541,3531368,3531382
o,35542,3541614,3541628
o,35543,3551866,3551880
o,35544,3562112,3562126
o,35545,3572358,3572372
o,35546,3582604,3582618
o,35547,3592716,3592730
o,35548,3602962,3602976
o,35549,3613212,3613224
o,35550,3623456,3623470
o,35551,3633702,3633716
o,35552,3643948,3643962
o,35553,3654194,3654208
o,35554,3664440,3664454
o,35555,3674686,3674700
o,35556,3684938,3684952
o,35557,3695184,3695198
o,35558,3705430,3705444
o,35559,3715678,3715692
o,35560,3725924,3725938
o,35561,3736170,3736184
o,35562,3746418,3746430
o,35563,3756662,3756676
o,35564,3766796,3766810
o,35565,3777042,3777056
o,35566,3787288,3787302
o,35567,3797534,3797548
o,35568,3807780,3807794
o,35569,3818032,3818046
o,35570,3828278,3828292
o,35571,3838524,3838538
o,35572,3848770,3848784
o,35573,3859016,3859030
o,35574,3869262,3869276
o,35575,3879512,3879524
o,35576,3889756,3889770
o,35577,3900002,3900016
o,35578,3910248,3910262
o,35579,3920496,3920510
o,35580,3930742,3930756
o,35581,3940990,3941004
o,35582,3951244,3951256
EC, 124,5900,   0,6024
ER,5934,  81,   8
,35583,3961358,3961372
o,35584,3971604,3971618
o,35585,3981850,3981864
o,35586,3992096,3992110
o,35587,4002342,4002356
o,35588,4012594,4012606
o,35589,4022834,4022848
o,35590,4033078,4033092
o,35591,4043324,4043338
o,35592,4053570,4053584
a,35593,4063816,4063830
o,35594,4074062,4074076
o,35595,4084244,4084258
o,35596,4094490,4094504
o,35597,4104736,4104750
o,35598,4114982,4114996
o,35599,4125228,4125242
o,35600,4135474,4135488
o,35601,4145724,4145736
o,35602,4155968,4155982
o,35603,4166214,4166228
o,35604,4176460,4176474
o,35605,4186706,4186720
o,35606,4196876,4196890
o,35607,4207122,4207136
o,35608,4217374,4217388
o,35609,4227618,4227632
o,35610,4237864,4237878
o,35611,4248110,4248124
o,35612,4258356,4258370
o,35613,4268602,4268616
o,35614,4278850,4278862
o,35615,4289094,4289108
o,35616,4299340,4299354
o,35617,4309586,4309600
o,35618,4319832,4319846
o,35619,4330080,4330094
o,35620,4340248,4340262
o,35621,4350498,4350512
o,35622,4360742,4360756
o,35623,4370988,4371002
o,35624,4381234,4381248
