TT,07,29,21,02,28,28,473869
in      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 56377
[INFO: Main      ] Link-layer address: 0012.4â[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 56377
[INFO: Main      ] Link-layer address: 0012.4b00.1204.dc39
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:1204:dc39
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
EC,  29, 992,   0,1021
ER,1013,   0,   8
t,51083,1118206,1118218
EC,  39,1982,   0,2022
ER,2011,   2,   8
EC,  49,2972,   0,3022
ER,96640,4428,   8
EC,4527,97549,   0,102077
ER,97640,4428,   8
EC,4535,98541,   0,103077
ER,98640,4429,   8
EC,4544,99533,   0,104078
ER,99640,4429,   8
EC,4553,100525,   0,105079
ER,100640,4429,   8
EC,4561,101517,   0,106079
ER,101641,4429,   8
EC,4570,102510,   0,107080
ER,102642,4429,   8
EC,4578,103501,   0,108080
ER,103642,4429,   8
EC,4587,104494,   0,109081
ER,104643,4429,   8
EC,4596,105485,   0,110081
ER,105643,4430,   8
EC,4604,106477,   0,111081
ER,106642,4430,   8
EC,4613,107469,   0,112082
ER,107643,4430,   8
EC,4621,108461,   0,113083
ER,108644,4430,   8
EC,4630,109454,   0,114084
ER,109645,4430,   8
EC,4638,110445,   0,115084
ER,110645,4430,   8
EC,4647,111437,   0,116084
ER,111645,4431,   8
EC,4655,112429,   0,117085
ER,112646,4431,   8
EC,4664,113421,   0,118086
ER,113646,4431,   8
EC,4673,114413,   0,119086
ER,114647,4431,   8
EC,4681,115405,   0,120087
ER,115647,4431,   8
EC,4690,116397,   0,121088
ER,116648,4431,   8
EC,4699,117389,   0,122088
ER,117648,4431,   8
EC,4707,118381,   0,123088
ER,118648,4431,   8
EC,4717,119372,   0,124089
ER,119647,4433,   8
EC,4725,120364,   0,125089
ER,120648,4433,   8
EC,4734,121356,   0,126090
ER,121648,4433,   8
EC,4742,122348,   0,127091
ER,122648,4433,   8
EC,4751,123340,   0,128091
ER,123648,4434,   8
EC,4760,124331,   0,129092
ER,124649,4434,   8
EC,4768,125324,   0,130092
ER,125650,4434,   8
EC,4777,126316,   0,131093
ER,126650,4434,   8
EC,4785,127308,   0,132094
ER,127651,4434,   8
EC,4793,128300,   0,133094
ER,128651,4434,   8
EC,4802,129291,   0,134094
ER,129650,4435,   8
EC,4811,130284,   0,135095
ER,130651,4435,   8
EC,4819,131276,   0,136095
ER,131652,4435,   8
EC,4828,132268,   0,137096
ER,132653,4435,   8
EC,4836,133260,   0,138097
ER,133653,4435,   8
