o,32872,4268592,4268606
o,32873,4278842,4278854
o,32874,4289086,4289100
o,32875,4299276,4299290
o,32876,4309520,4309534
o,32877,4319766,4319780
o,32878,4330014,4330028
o,32879,4340258,4340272
o,32880,4350510,4350524
o,32881,4360756,4360770
o,32882,4371002,4371016
o,32883,4381196,4381210
o,32884,4391442,4391456
o,32885,4401688,4401702
o,32886,4411940,4411952
o,32887,4422184,4422198
o,32888,4432434,4432448
o,32889,4442680,4442694
o,32890,4452876,4452890
o,32891,4463122,4463136
o,32892,4473368,4473382
o,32893,4483620,4483634
o,32894,4493866,4493880
o,32895,4504112,4504126
o,32896,4514358,4514372
o,32897,4524556,4524570
o,32898,4534802,4534816
o,32899,4545052,4545064
o,32900,4555294,4555308
o,32901,4565540,4565554
o,32902,4575786,4575800
o,32903,4586032,4586046
o,32904,4596280,4596294
o,32905,4606528,4606540
EC, 114,6910,   0,7025
ER,6938,  77,   8
o,32906,4616778,4616792
o,32907,4627024,4627038
o,32908,4637270,4637284
o,32909,4647516,4647530
o,32910,4657762,4657776
o,32911,4667916,4667930
o,32912,4678166,4678178
o,32913,4688408,4688422
o,32914,4698654,4698668
o,32915,4708898,4708912
o,32916,4719144,4719158
o,32917,4729390,4729404
o,32918,4739636,4739650
o,32919,4749888,4749902
o,32920,4760134,4760148
o,32921,4770380,4770394
o,32922,4780556,4780570
o,32923,4790800,4790814
o,32924,4801046,4801060
o,32925,4811296,4811308
o,32926,4821840,4821854
o,32927,4831756,4831770
o,32928,4842000,4842014
o,32929,4852250,4852264
o,32930,4862496,4862510
o,32931,4872742,4872756
o,32932,4882994,4883008
o,32933,4893240,4893254
o,32934,4903486,4903500
o,32935,4913732,4913746
o,32936,4923978,4923992
o,32937,4934224,4934238
o,32938,4944474,4944486
o,32939,4954722,4954736
o,32940,4964876,4964890
o,32941,4975122,4975136
o,32942,4985368,4985382
o,32943,4995614,4995628
o,32944,5005860,5005874
o,32945,5016112,5016126
o,32946,5026462,5026476
o,32947,5036708,5036722
o,32948,5046954,5046968
o,32949,5057200,5057214
o,32950,5067446,5067460
o,32951,5077696,5077708
o,32952,5087940,5087954
o,32953,5098186,5098200
o,32954,5108236,5108250
o,32955,5118482,5118496
o,32956,5128728,5128742
o,32957,5138976,5138990
o,32958,5149228,5149242
o,32959,5159474,5159488
a,32960,5169676,5169690
o,32961,5179922,5179936
o,32962,5190168,5190182
o,32963,5200412,5200426
o,32964,5210664,5210676
o,32965,5220908,5220922
o,32966,5231262,5231276
o,32967,5241508,5241522
o,32968,5251756,5251770
o,32969,5262004,5262016
EC, 141,7883,   0,8025
ER,7913, 103,   8
o,32970,5272078,5272092
o,32971,5282330,5282344
t,28929,5287112,5287124
o,32972,5292556,5292570
o,32973,5302802,5302816
o,32974,5313048,5313062
o,32975,5323294,5323308
o,32976,5333540,5333554
o,32977,5343790,5343802
o,32978,5353996,5354010
o,32979,5364242,5364256
o,32980,5374488,5374502
o,32981,5384734,5384748
o,32982,5394980,5394994
o,32983,5405226,5405240
o,32984,5415478,5415492
o,32985,5425724,5425738
o,32986,5436122,5436136
o,32987,5446156,5446170
o,32988,5456402,5456416
o,32989,5466648,5466662
o,32990,5476898,5476910
o,32991,5487142,5487156
o,32992,5497388,5497402
o,32993,5507634,5507648
o,32994,5517880,5517894
o,32995,5528126,5528140
o,32996,5538316,5538330
o,32997,5548568,5548582
o,32998,5558812,5558826
o,32999,5569058,5569072
o,33000,5579304,5579318
o,33001,5589554,5589568
o,33002,5599756,5599770
o,33003,5610006,5610018
o,33004,5620236,5620250
o,33005,5630482,5630496
o,33006,5640862,5640876
o,33007,5651108,5651122
o,33008,5661354,5661368
o,33009,5671600,5671614
o,33010,5681852,5681866
o,33011,5692098,5692112
o,33012,5702156,5702170
o,33013,5712402,5712416
o,33014,5722648,5722662
o,33015,5732894,5732908
o,33016,5743144,5743156
o,33017,5753388,5753402
o,33018,5763596,5763610
o,33019,5773842,5773856
o,33020,5784088,5784102
o,33021,5794334,5794348
o,33022,5804578,5804592
,33023,5814830,5814844
o,33024,5825076,5825090
o,33025,5835276,5835290
o,33026,5845524,5845538
o,33027,5855770,5855784
o,33028,5866016,5866030
o,33029,5876266,5876278
o,33030,5886510,5886524
o,33031,5896756,5896770
o,33032,5907004,5907018
o,33033,5917254,5917266
EC, 169,8857,   0,9026
ER,8889, 128,   8
o,33034,5927498,5927512
o,33035,5937676,5937690
o,33036,5947928,5947942
o,33037,5958174,5958188
o,33038,5968420,5968434
o,33039,5978636,5978650
o,33040,5988880,5988894
o,33041,5999126,5999140
o,33042,6009374,6009386
o,33043,6019618,6019632
o,33044,6029864,6029878
o,33045,6040110,6040124
o,33046,6050360,6050374
o,33047,6060606,6060620
o,33048,6070852,6070866
o,33049,6081102,6081116
o,33050,6091348,6091362
o,33051,6101594,6101608
o,33052,6111840,6111854
o,33053,6122086,6122100
o,33054,6132236,6132250
o,33055,6142486,6142498
o,33056,6152730,6152744
o,33057,6162976,6162990
o,33058,6173222,6173236
o,33059,6183468,6183482
o,33060,6193714,6193728
o,33061,6203960,6203974
o,33062,6214212,6214226
o,33063,6224458,6224472
o,33064,6234704,6234718
o,33065,6244950,6244964
o,33066,6255196,6255210
o,33067,6265444,6265458
o,33068,6275600,6275612
o,33069,6285844,6285858
o,33070,6296090,6296104
o,33071,6306336,6306350
o,33072,6316556,6316570
o,33073,6326802,6326816
o,33074,6337048,6337062
o,33075,6347300,6347314
o,33076,6357546,6357560
o,33077,6367756,6367770
o,33078,6378002,6378016
o,33079,6388248,6388262
o,33080,6398494,6398508
o,33081,6408744,6408756
o,33082,6418990,6419004
o,33083,6429196,6429210
o,33084,6439442,6439456
o,33085,6449688,6449702
o,33086,6460134,6460148
o,33087,6470158,6470172
o,33088,6480406,6480420
o,33089,6490652,6490666
o,33090,6500898,6500912
o,33091,6511144,6511158
o,33092,6521390,6521404
o,33093,6531636,6531650
o,33094,6541886,6541898
o,33095,6552130,6552144
o,33096,6562320,6562334
o,33097,6572568,6572580
EC, 195,9830,   0,10026
ER,9867, 151,   8
o,33098,6582816,6582830
o,33099,6593060,6593074
o,33100,6603306,6603320
o,33101,6613560,6613574
o,33102,6623756,6623770
o,33103,6634002,6634016
o,33104,6644248,6644262
o,33105,6654494,6654508
o,33106,6664916,6664930
o,33107,6674960,6674972
o,33108,6685204,6685218
o,33109,6695450,6695464
o,33110,6705696,6705710
o,33111,6715942,6715956
o,33112,6726188,6726202
o,33113,6736434,6736448
o,33114,6746686,6746700
o,33115,6756932,6756946
o,33116,6767178,6767192
o,33117,6777424,6777438
o,33118,6787670,6787684
o,33119,6797836,6797850
o,33120,6808086,6808098
o,33121,6818330,6818344
o,33122,6828576,6828590
o,33123,6838822,6838836
o,33124,6849068,6849082
o,33125,6859314,6859328
o,33126,6869770,6869784
o,33127,6879762,6879776
o,33128,6890008,6890022
o,33129,6900252,6900266
o,33130,6910498,6910512
o,33131,6920744,6920758
o,33132,6930956,6930970
o,33133,6941206,6941218
o,33134,6951450,6951464
o,33135,6961696,6961710
o,33136,6971942,6971956
o,33137,6982188,6982202
o,33138,6992434,6992448
o,33139,7002636,7002650
o,33140,7012888,7012902
o,33141,7023134,7023148
o,33142,7033380,7033394
o,33143,7043626,7043640
o,33144,7053872,7053886
o,33145,7064076,7064090
