TT,07,28,21,21,56,39,240841
FO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 56377
[ÿ[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 56377
[INFO: Main      ] Link-layer address: 0012.4b00.1204.dc39
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:1204:dc39
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
EC,  29, 991,   0,1021
t,35947,44425724,0,0,44425906
EC,3347,64711,   0,68058
ER,63458,4591,   8
EC,3408,65650,   0,69059
ER,64370,4680,   8
EC,3458,66601,   0,70059
ER,65300,4750,   8
EC,3520,67539,   0,71059
ER,66207,4844,   8
EC,3561,68498,   0,72060
ER,67152,4899,   8
EC,3608,69452,   0,73061
ER,68085,4967,   8
decrypt, 48357002,48357014
encrypt, 48357180,48357188
t,35948,48357178,0,0,48357358
EC,3664,70398,   0,74062
ER,69007,5046,   8
EC,3722,71339,   0,75062
ER,69922,5131,   8
EC,3779,72283,   0,76062
ER,70846,5208,   8
EC,3833,73230,   0,77063
ER,71766,5288,   8
EC,3888,74175,   0,78063
ER,72686,5369,   8
EC,3940,75124,   0,79064
ER,73618,5437,   8
decrypt, 52291890,52291904
encrypt, 52292068,52292078
t,35949,52292068,0,0,52292246
EC,3994,76070,   0,80064
ER,74542,5514,   8
EC,4051,77014,   0,81065
ER,75456,5600,   8
EC,4101,77964,   0,82065
ER,76389,5668,   8
EC,4146,78920,   0,83066
ER,77325,5732,   8
EC,4195,79871,   0,84067
ER,78255,5803,   8
EC,4249,80817,   0,85067
ER,79179,5879,   8
decrypt, 56223680,56223692
encrypt, 56223858,56223866
t,35950,56223856,0,0,56224036
EC,4296,81772,   0,86068
ER,80116,5943,   8
EC,4345,82722,   0,87068
ER,81048,6012,   8
EC,4397,83671,   0,88069
ER,81974,6086,   8
EC,4459,84610,   0,89069
ER,82887,6174,   8
EC,4509,85561,   0,90070
ER,83814,6247,   8
EC,4562,86508,   0,91071
ER,84737,6325,   8
decrypt, 60163558,60163572
encrypt, 60163738,60163746
t,35951,60163736,0,0,60163916
EC,4612,87458,   0,92071
ER,85670,6392,   8
EC,4671,88400,   0,93072
ER,86588,6475,   8
EC,4719,89353,   0,94072
ER,87525,6538,   8
EC,4767,90305,   0,95073
ER,88463,6601,   8
EC,4821,91252,   0,96073
ER,89387,6677,   8
EC,4873,92200,   0,97074
ER,90312,6753,   8
decrypt, 64090130,64090142
encrypt, 64090308,64090316
t,35953,64090306,0,0,64090486
EC,4925,93149,   0,98075
ER,91242,6824,   8
EC,4975,94099,   0,99075
ER,92168,6898,   8
EC,5026,95049,   0,100076
ER,93095,6972,   8
EC,5081,95994,   0,101076
ER,94025,7042,   8
EC,5130,96946,   0,102077
ER,94954,7113,   8
EC,5192,97884,   0,103077
ER,95869,7199,   8
decrypt, 68018230,68018242
encrypt, 68018408,68018416
t,35954,68018406,0,0,68018586
EC,5230,98848,   0,104078
ER,96824,7245,   8
EC,5292,99786,   0,105078
ER,97731,7338,   8
EC,5345,100733,   0,106079
ER,98660,7410,   8
