TT,07,29,21,02,59,58,420221
ing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: [INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 65491
[INFO: Main      ] Link-layer address: 0012.4b00.1204.ffd3
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:1204:ffd3
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
ER,101061,   7,   8
EC, 430,101646,   0,102076
ER,102061,   7,   8
EC, 433,102645,   0,103078
ER,103062,   7,   8
EC, 435,103642,   0,104078
ER,104063,   7,   8
EC, 438,104640,   0,105079
ER,105063,   7,   8
EC, 440,105638,   0,106079
ER,106064,   7,   8
EC, 443,106636,   0,107080
ER,107064,   7,   8
EC, 446,107634,   0,108080
ER,108065,   7,   8
EC, 448,108632,   0,109081
ER,109065,   7,   8
EC, 451,109629,   0,110081
ER,110065,   7,   8
EC, 454,110628,   0,111082
ER,111066,   7,   8
EC, 456,111626,   0,112083
ER,112067,   7,   8
EC, 459,112624,   0,113083
ER,113067,   7,   8
EC, 461,113622,   0,114084
ER,114068,   7,   8
EC, 464,114620,   0,115084
ER,115068,   7,   8
EC, 467,115617,   0,116084
ER,116068,   7,   8
EC, 470,116615,   0,117085
ER,117069,   7,   8
EC, 472,117613,   0,118086
ER,118070,   7,   8
EC, 475,118611,   0,119086
ER,119070,   7,   8
EC, 477,119609,   0,120087
ER,120071,   7,   8
EC, 480,120607,   0,121088
ER,121071,   7,   8
EC, 482,121605,   0,122088
ER,122072,   7,   8
EC, 485,122603,   0,123088
ER,123072,   7,   8
EC, 488,123600,   0,124089
ER,124073,   7,   8
EC, 491,124598,   0,125089
ER,125073,   7,   8
EC, 494,125595,   0,126090
ER,126074,   7,   8
EC, 496,126594,   0,127091
ER,127075,   7,   8
EC, 499,127592,   0,128091
ER,128075,   7,   8
EC, 501,128590,   0,129092
ER,129076,   7,   8
EC, 504,129588,   0,130092
